"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Brookhaven-Lansdowne","KY","Lexington","Fayette","Lexington",2344,199900,0.0035140562248996,0.0111279716742539,0.038981288981289,0.0249796640436484,0.0148511997381073,"2014-12","2014-Q4",199900,0,"2014-12"
2014-12-31,"Chosewood Park","GA","Atlanta","Fulton","Atlanta",2345,52700,0.00957854406130268,-0.00566037735849057,-0.118729096989967,-0.0956042932524942,-0.0747425305722906,"2007-05","2007-Q2",148600,-0.64535666218035,"1997-07"
2014-12-31,"Sardis Forest","NC","Charlotte","Mecklenburg","Charlotte",2346,268600,0.00486344930789375,0.0162693908437382,0.0667196187450357,0.0169083443874589,0.0211859085317059,"2008-01","2008-Q1",277000,-0.0303249097472924,"2007-05"
2014-12-31,"Schnitzelburg","KY","Louisville/Jefferson County","Jefferson","Louisville",2347,110400,0.010064043915828,0.0250696378830084,0.0250696378830084,0.0326858919885982,0.0222415637741649,"2014-12","2014-Q4",110400,0,"2014-12"
2014-12-31,"Highland Terrace","CA","San Francisco","Alameda","Oakland",2348,350600,0.0138808559861191,0.0287558685446009,0.153668970055939,0.0727372249126739,-0.00977805994939185,"2006-08","2006-Q3",486000,-0.278600823045268,"2004-06"
2014-12-31,"Cameron Hills","CA","San Francisco","Alameda","Fremont",2349,1339700,0.00142024218866796,0.0100271411338963,0.00714178319049767,0.0659438304759068,0.0351568984558925,"2014-12","2014-Q4",1339700,0,"2014-12"
2014-12-31,"Forrest Hills","GA","Augusta","Richmond","Augusta",2350,182500,0.00329851566794942,0.00884466556108347,0.021264689423615,-0.00496623930407236,0.00623605436822516,"2008-07","2008-Q3",201000,-0.0920398009950249,"2005-11"
2014-12-31,"Martin Acres","CO","Boulder","Boulder","Boulder",2351,454700,0.0104444444444444,0.0308320108818862,0.0870188859670093,0.0428224288263159,0.03935185358876,"2014-12","2014-Q4",454700,0,"2014-12"
2014-12-31,"Table Mesa South","CO","Boulder","Boulder","Boulder",2352,612600,0.0120601354700149,0.0368991198375085,0.100017956545161,0.0552799099424115,0.0471080883040538,"2014-12","2014-Q4",612600,0,"2014-12"
2014-12-31,"Longview Lake","OK","Tulsa","Tulsa","Tulsa",2353,109700,-0.00453720508166969,-0.00634057971014493,0.0195167286245353,0.00956663359976062,0.00909926676267214,"2014-10","2014-Q4",110500,-0.00723981900452489,"2014-08"
2014-12-31,"Crieve Hall","TN","Nashville","Davidson","Nashville",2354,309200,0.00979751796211626,0.0327321309285237,0.107053347654851,0.0440908491781582,0.0473391871765787,"2014-12","2014-Q4",309200,0,"2014-12"
2014-12-31,"Fulton","VA","Richmond","Richmond City","Richmond",2355,92500,0.00543478260869565,0.0277777777777778,0.0312151616499443,-0.00172081037207239,0.0243791543427296,"2007-12","2007-Q4",96200,-0.0384615384615385,"2006-08"
2014-12-31,"Norkirk","WA","Seattle","King","Kirkland",2356,726000,0.011142061281337,0.0206663854913539,0.0695344725987036,0.050977337042196,0.0355799512003783,"2014-12","2014-Q4",726000,0,"2014-12"
2014-12-31,"Perry North","PA","Pittsburgh","Allegheny","Pittsburgh",2357,87300,0.0046029919447641,0.00576036866359447,0.0115874855156431,0.036142227056291,0.0249979266415705,"2014-02","2014-Q1",88300,-0.0113250283125708,"2014-01"
2014-12-31,"Cahuenga Pass","CA","Los Angeles","Los Angeles","Los Angeles",2358,1146900,0.0196479374110953,0.0476842970676898,0.145410965744532,0.046558237049938,0.0183194943726521,"2014-12","2014-Q4",1146900,0,"2014-12"
2014-12-31,"Arrowhead","FL","Jacksonville","Duval","Jacksonville",2359,135500,0.0134629768137622,0.0407066052227343,0.199115044247788,-0.00451387101054324,-0.00240334809858456,"2006-09","2006-Q3",186600,-0.27384780278671,"2004-11"
2014-12-31,"Park of the Canals","AZ","Phoenix","Maricopa","Mesa",2360,184400,0.0104109589041096,0.03421200224341,-0.00913487372380441,0.0384470954278164,0.00792712425822839,"2006-04","2006-Q2",256400,-0.280811232449298,"2005-04"
2014-12-31,"West Beverly","IL","Chicago","Cook","Chicago",2361,211300,0.000473484848484848,0.0148895292987512,-0.0258183494698018,-0.018009630819418,-0.00718521447414111,"2006-07","2006-Q3",275100,-0.231915667030171,"2004-07"
2014-12-31,"Mission Hills","NV","Las Vegas","Clark","Henderson",2362,160000,0.0101010101010101,0.0309278350515464,0.120448179271709,0.0313747754601379,-0.0381609623880372,"2005-12","2005-Q4",279400,-0.427344309234073,"2001-03"
2014-12-31,"Isle of Palms","FL","Jacksonville","Duval","Jacksonville",2363,490200,0.00843447850236577,0.0337410375369043,0.141592920353982,0.0231952140570948,0.0100618503357992,"2006-06","2006-Q2",569800,-0.13969813969814,"2005-05"
2014-12-31,"Closeburn-Glenkirk","NC","Charlotte","Mecklenburg","Charlotte",2364,241700,0.00624479600333056,0.0263269639065817,0.104661791590494,0.0251224726945007,0.0377866039844958,"2014-12","2014-Q4",241700,0,"2014-12"
2014-12-31,"Glenrose Heights","GA","Atlanta","Fulton","Atlanta",2365,44500,0.00451467268623025,-0.0283842794759825,-0.0824742268041237,-0.0847803093042262,-0.079058156985145,"2005-08","2005-Q3",112800,-0.605496453900709,
2014-12-31,"Downtown","DC","Washington","District of Columbia","Washington",2366,474500,0.00211193241816262,0.00614927905004241,0.0394304490690033,0.0443770306807361,0.0165423085588423,"2014-12","2014-Q4",474500,0,"2014-12"
2014-12-31,"Arlington Manor","FL","Jacksonville","Duval","Jacksonville",2367,92500,0.00216684723726977,0.012035010940919,0.0428410372040586,-0.0358074959973728,-0.0260166684025076,"2006-11","2006-Q4",156800,-0.410076530612245,"2002-09"
2014-12-31,"Columbus Park","WI","Milwaukee","Milwaukee","Milwaukee",2368,71700,0.00561009817671809,0.00985915492957747,0.00139664804469274,-0.0605825653480515,-0.047053117578775,"2006-05","2006-Q2",134900,-0.468495181616012,"1999-12"
